datetime,value
2015-04-30 22:00:00+00:00,123.69
2015-04-30 23:00:00+00:00,114.06
2015-05-01 00:00:00+00:00,113.99
2015-05-01 01:00:00+00:00,115.4
2015-05-01 02:00:00+00:00,111.1
2015-05-01 03:00:00+00:00,111.03
2015-05-01 04:00:00+00:00,111.55
2015-05-01 05:00:00+00:00,110.06
2015-05-01 06:00:00+00:00,111.43
2015-05-01 07:00:00+00:00,114.7
2015-05-01 08:00:00+00:00,112.42
2015-05-01 09:00:00+00:00,114.13
2015-05-01 10:00:00+00:00,114.25
2015-05-01 11:00:00+00:00,115.68
2015-05-01 12:00:00+00:00,114.71
2015-05-01 13:00:00+00:00,111.45
2015-05-01 14:00:00+00:00,110.61
2015-05-01 15:00:00+00:00,110.09
2015-05-01 16:00:00+00:00,120.97
2015-05-01 17:00:00+00:00,130.61
2015-05-01 18:00:00+00:00,133.99
2015-05-01 19:00:00+00:00,145.45
2015-05-01 20:00:00+00:00,145.85
2015-05-01 21:00:00+00:00,143.17
2015-05-01 22:00:00+00:00,133.39
2015-05-01 23:00:00+00:00,123.66
2015-05-02 00:00:00+00:00,118.97
2015-05-02 01:00:00+00:00,117.93
2015-05-02 02:00:00+00:00,117.34
2015-05-02 03:00:00+00:00,116.71
2015-05-02 04:00:00+00:00,115.88
2015-05-02 05:00:00+00:00,114.27
2015-05-02 06:00:00+00:00,119.5
2015-05-02 07:00:00+00:00,116.43
2015-05-02 08:00:00+00:00,116.62
2015-05-02 09:00:00+00:00,117.79
2015-05-02 10:00:00+00:00,115.5
2015-05-02 11:00:00+00:00,116.4
2015-05-02 12:00:00+00:00,115.54
2015-05-02 13:00:00+00:00,108.8
2015-05-02 14:00:00+00:00,103.37
2015-05-02 15:00:00+00:00,102.54
2015-05-02 16:00:00+00:00,106.36
2015-05-02 17:00:00+00:00,111.81
2015-05-02 18:00:00+00:00,120.56
2015-05-02 19:00:00+00:00,130.91
2015-05-02 20:00:00+00:00,132.53
2015-05-02 21:00:00+00:00,128.04
2015-05-02 22:00:00+00:00,114.72
2015-05-02 23:00:00+00:00,111.78
2015-05-03 00:00:00+00:00,108.1
2015-05-03 01:00:00+00:00,108.06
2015-05-03 02:00:00+00:00,107.76
2015-05-03 03:00:00+00:00,106.92
