datetime,temperature_2m,relative_humidity_2m,wind_speed_10m,cloudcover,shortwave_radiation,precipitation
2015-05-01 00:00:00+00:00,17.9,78,5.1,0,0.0,0.0
2015-05-01 01:00:00+00:00,15.6,86,5.4,3,0.0,0.0
2015-05-01 02:00:00+00:00,14.4,90,5.6,0,0.0,0.0
2015-05-01 03:00:00+00:00,14.3,91,6.1,0,0.0,0.0
2015-05-01 04:00:00+00:00,14.1,92,6.2,0,0.0,0.0
2015-05-01 05:00:00+00:00,13.8,93,5.8,0,0.0,0.0
2015-05-01 06:00:00+00:00,14.5,91,5.4,1,9.0,0.0
2015-05-01 07:00:00+00:00,16.5,87,3.6,11,133.0,0.0
2015-05-01 08:00:00+00:00,19.0,70,2.4,25,334.0,0.0
2015-05-01 09:00:00+00:00,20.1,64,4.6,68,532.0,0.0
2015-05-01 10:00:00+00:00,21.0,61,4.5,93,685.0,0.0
2015-05-01 11:00:00+00:00,21.8,59,3.0,89,801.0,0.0
2015-05-01 12:00:00+00:00,22.4,57,1.6,5,863.0,0.0
2015-05-01 13:00:00+00:00,23.0,55,1.3,0,909.0,0.0
2015-05-01 14:00:00+00:00,23.6,53,2.6,0,907.0,0.0
2015-05-01 15:00:00+00:00,24.2,50,4.6,0,806.0,0.0
2015-05-01 16:00:00+00:00,24.6,49,4.9,6,653.0,0.0
2015-05-01 17:00:00+00:00,24.5,52,5.4,43,460.0,0.0
2015-05-01 18:00:00+00:00,24.1,54,5.4,33,257.0,0.0
2015-05-01 19:00:00+00:00,22.9,61,7.4,8,72.0,0.0
2015-05-01 20:00:00+00:00,21.2,69,7.9,20,0.0,0.0
2015-05-01 21:00:00+00:00,19.8,75,8.0,63,0.0,0.0
2015-05-01 22:00:00+00:00,18.7,78,6.8,85,0.0,0.0
2015-05-01 23:00:00+00:00,17.9,79,6.6,98,0.0,0.0
2015-05-02 00:00:00+00:00,17.4,80,5.5,98,0.0,0.0
2015-05-02 01:00:00+00:00,17.7,76,3.7,100,0.0,0.0
2015-05-02 02:00:00+00:00,18.1,73,2.5,99,0.0,0.0
2015-05-02 03:00:00+00:00,20.2,62,1.8,100,0.0,0.0
2015-05-02 04:00:00+00:00,20.7,59,1.1,100,0.0,0.0
2015-05-02 05:00:00+00:00,20.9,57,2.3,100,0.0,0.0
2015-05-02 06:00:00+00:00,20.6,57,4.7,99,9.0,0.0
2015-05-02 07:00:00+00:00,18.6,73,6.8,98,122.0,0.0
2015-05-02 08:00:00+00:00,21.4,60,8.5,93,318.0,0.0
2015-05-02 09:00:00+00:00,22.0,60,9.7,63,537.0,0.0
2015-05-02 10:00:00+00:00,22.5,60,8.2,35,719.0,0.0
2015-05-02 11:00:00+00:00,23.0,60,8.8,28,852.0,0.0
2015-05-02 12:00:00+00:00,23.3,60,8.8,23,937.0,0.0
2015-05-02 13:00:00+00:00,23.4,59,8.7,29,947.0,0.0
2015-05-02 14:00:00+00:00,23.6,58,9.4,23,904.0,0.0
2015-05-02 15:00:00+00:00,23.7,58,8.9,0,816.0,0.0
2015-05-02 16:00:00+00:00,23.6,58,8.7,1,662.0,0.0
2015-05-02 17:00:00+00:00,23.4,58,8.4,13,473.0,0.0
2015-05-02 18:00:00+00:00,22.9,60,6.8,15,265.0,0.0
2015-05-02 19:00:00+00:00,22.0,64,6.2,9,75.0,0.0
2015-05-02 20:00:00+00:00,21.4,66,5.4,0,0.0,0.0
2015-05-02 21:00:00+00:00,20.9,69,5.4,0,0.0,0.0
2015-05-02 22:00:00+00:00,18.8,78,6.1,0,0.0,0.0
2015-05-02 23:00:00+00:00,17.6,83,6.5,0,0.0,0.0
2015-05-03 00:00:00+00:00,16.6,85,5.5,1,0.0,0.0
2015-05-03 01:00:00+00:00,17.3,83,7.2,43,0.0,0.0
2015-05-03 02:00:00+00:00,17.6,83,10.2,70,0.0,0.0
2015-05-03 03:00:00+00:00,17.7,82,9.7,95,0.0,0.0
2015-05-03 04:00:00+00:00,17.8,81,7.2,100,0.0,0.0
2015-05-03 05:00:00+00:00,17.6,82,7.3,93,0.0,0.0
2015-05-03 06:00:00+00:00,17.4,84,9.7,66,11.0,0.0
2015-05-03 07:00:00+00:00,18.5,81,10.8,68,142.0,0.0
2015-05-03 08:00:00+00:00,20.4,72,10.5,94,311.0,0.0
2015-05-03 09:00:00+00:00,22.0,65,9.7,99,463.0,0.0
2015-05-03 10:00:00+00:00,23.7,57,9.6,94,574.0,0.0
2015-05-03 11:00:00+00:00,25.3,49,10.4,98,686.0,0.0
2015-05-03 12:00:00+00:00,26.6,43,11.0,100,787.0,0.0
2015-05-03 13:00:00+00:00,27.5,39,8.9,100,822.0,0.0
2015-05-03 14:00:00+00:00,28.1,36,10.2,99,814.0,0.0
2015-05-03 15:00:00+00:00,28.2,35,13.1,99,697.0,0.0
2015-05-03 16:00:00+00:00,27.4,38,16.2,97,467.0,0.0
2015-05-03 17:00:00+00:00,26.1,43,15.6,98,332.0,0.0
2015-05-03 18:00:00+00:00,24.5,48,14.6,100,126.0,0.0
2015-05-03 19:00:00+00:00,22.4,55,14.9,99,30.0,0.0
2015-05-03 20:00:00+00:00,21.4,58,15.3,99,0.0,0.0
2015-05-03 21:00:00+00:00,20.6,62,13.4,100,0.0,0.0
2015-05-03 22:00:00+00:00,20.0,65,9.0,100,0.0,0.0
2015-05-03 23:00:00+00:00,19.4,68,12.1,100,0.0,0.0
2015-05-04 00:00:00+00:00,18.9,72,13.1,100,0.0,0.0
2015-05-04 01:00:00+00:00,18.8,74,15.1,100,0.0,0.0
2015-05-04 02:00:00+00:00,18.4,78,17.1,95,0.0,0.0
