datetime,value
2015-04-30 22:00:00+00:00,806.3389999999999
2015-04-30 23:00:00+00:00,733.845
2015-05-01 00:00:00+00:00,689.18
2015-05-01 01:00:00+00:00,668.596
2015-05-01 02:00:00+00:00,661.176
2015-05-01 03:00:00+00:00,665.521
2015-05-01 04:00:00+00:00,690.914
2015-05-01 05:00:00+00:00,709.4309999999999
2015-05-01 06:00:00+00:00,795.37
2015-05-01 07:00:00+00:00,898.2210000000001
2015-05-01 08:00:00+00:00,959.625
2015-05-01 09:00:00+00:00,965.924
2015-05-01 10:00:00+00:00,971.686
2015-05-01 11:00:00+00:00,985.033
2015-05-01 12:00:00+00:00,955.597
2015-05-01 13:00:00+00:00,892.82
2015-05-01 14:00:00+00:00,860.8009999999999
2015-05-01 15:00:00+00:00,868.481
2015-05-01 16:00:00+00:00,890.678
2015-05-01 17:00:00+00:00,921.678
2015-05-01 18:00:00+00:00,988.749
2015-05-01 19:00:00+00:00,1072.107
2015-05-01 20:00:00+00:00,983.585
2015-05-01 21:00:00+00:00,871.355
2015-05-01 22:00:00+00:00,776.807
2015-05-01 23:00:00+00:00,712.27
2015-05-02 00:00:00+00:00,672.2769999999999
2015-05-02 01:00:00+00:00,652.408
2015-05-02 02:00:00+00:00,648.24
2015-05-02 03:00:00+00:00,662.177
2015-05-02 04:00:00+00:00,708.822
2015-05-02 05:00:00+00:00,742.0129999999999
2015-05-02 06:00:00+00:00,846.502
2015-05-02 07:00:00+00:00,970.695
2015-05-02 08:00:00+00:00,1035.171
2015-05-02 09:00:00+00:00,1031.945
2015-05-02 10:00:00+00:00,1036.258
2015-05-02 11:00:00+00:00,1050.753
2015-05-02 12:00:00+00:00,1029.013
2015-05-02 13:00:00+00:00,971.66
2015-05-02 14:00:00+00:00,942.919
2015-05-02 15:00:00+00:00,952.181
2015-05-02 16:00:00+00:00,970.845
2015-05-02 17:00:00+00:00,989.965
2015-05-02 18:00:00+00:00,1041.349
2015-05-02 19:00:00+00:00,1110.912
2015-05-02 20:00:00+00:00,1001.189
2015-05-02 21:00:00+00:00,884.957
2015-05-02 22:00:00+00:00,786.191
2015-05-02 23:00:00+00:00,718.87
2015-05-03 00:00:00+00:00,676.0840000000001
2015-05-03 01:00:00+00:00,653.03
2015-05-03 02:00:00+00:00,644.616
2015-05-03 03:00:00+00:00,651.849
2015-05-03 04:00:00+00:00,666.944
2015-05-03 05:00:00+00:00,660.28
2015-05-03 06:00:00+00:00,734.445
2015-05-03 07:00:00+00:00,839.05
2015-05-03 08:00:00+00:00,909.957
2015-05-03 09:00:00+00:00,929.783
2015-05-03 10:00:00+00:00,933.093
2015-05-03 11:00:00+00:00,940.47
2015-05-03 12:00:00+00:00,909.933
2015-05-03 13:00:00+00:00,856.4689999999999
2015-05-03 14:00:00+00:00,832.424
2015-05-03 15:00:00+00:00,847.826
2015-05-03 16:00:00+00:00,876.425
2015-05-03 17:00:00+00:00,911.84
2015-05-03 18:00:00+00:00,989.653
2015-05-03 19:00:00+00:00,1064.513
2015-05-03 20:00:00+00:00,967.725
2015-05-03 21:00:00+00:00,847.412
2015-05-03 22:00:00+00:00,752.307
2015-05-03 23:00:00+00:00,689.874
2015-05-04 00:00:00+00:00,655.683
2015-05-04 01:00:00+00:00,643.884
2015-05-04 02:00:00+00:00,646.192
2015-05-04 03:00:00+00:00,670.331
2015-05-04 04:00:00+00:00,753.5360000000001
2015-05-04 05:00:00+00:00,862.999
2015-05-04 06:00:00+00:00,961.673
2015-05-04 07:00:00+00:00,1041.488
2015-05-04 08:00:00+00:00,1082.135
2015-05-04 09:00:00+00:00,1092.265
2015-05-04 10:00:00+00:00,1110.003
2015-05-04 11:00:00+00:00,1124.618
2015-05-04 12:00:00+00:00,1106.417
2015-05-04 13:00:00+00:00,1053.87
2015-05-04 14:00:00+00:00,1025.316
2015-05-04 15:00:00+00:00,1033.741
2015-05-04 16:00:00+00:00,1048.872
2015-05-04 17:00:00+00:00,1075.242
2015-05-04 18:00:00+00:00,1141.056
2015-05-04 19:00:00+00:00,1189.423
2015-05-04 20:00:00+00:00,1030.975
2015-05-04 21:00:00+00:00,886.901
2015-05-04 22:00:00+00:00,778.769
2015-05-04 23:00:00+00:00,712.709
2015-05-05 00:00:00+00:00,679.7669999999999
2015-05-05 01:00:00+00:00,667.261
2015-05-05 02:00:00+00:00,669.35
2015-05-05 03:00:00+00:00,696.066
2015-05-05 04:00:00+00:00,791.15
2015-05-05 05:00:00+00:00,925.945
2015-05-05 06:00:00+00:00,1019.353
2015-05-05 07:00:00+00:00,1085.883
2015-05-05 08:00:00+00:00,1116.976
2015-05-05 09:00:00+00:00,1120.265
2015-05-05 10:00:00+00:00,1138.197
