datetime,value
2015-04-30 22:00:00+00:00,21.761
2015-04-30 23:00:00+00:00,19.433
2015-05-01 00:00:00+00:00,17.91
2015-05-01 01:00:00+00:00,16.915
2015-05-01 02:00:00+00:00,16.58
2015-05-01 03:00:00+00:00,16.457
2015-05-01 04:00:00+00:00,16.618
2015-05-01 05:00:00+00:00,15.93
2015-05-01 06:00:00+00:00,15.927
2015-05-01 07:00:00+00:00,17.974
2015-05-01 08:00:00+00:00,20.29
2015-05-01 09:00:00+00:00,21.423
2015-05-01 10:00:00+00:00,22.076
2015-05-01 11:00:00+00:00,22.951
2015-05-01 12:00:00+00:00,23.007
2015-05-01 13:00:00+00:00,21.119
2015-05-01 14:00:00+00:00,19.537
2015-05-01 15:00:00+00:00,19.057
2015-05-01 16:00:00+00:00,19.185
2015-05-01 17:00:00+00:00,19.413
2015-05-01 18:00:00+00:00,20.452
2015-05-01 19:00:00+00:00,24.738
2015-05-01 20:00:00+00:00,25.221
2015-05-01 21:00:00+00:00,23.516
2015-05-01 22:00:00+00:00,21.56
2015-05-01 23:00:00+00:00,19.603
2015-05-02 00:00:00+00:00,18.248
2015-05-02 01:00:00+00:00,17.288
2015-05-02 02:00:00+00:00,16.823
2015-05-02 03:00:00+00:00,16.726
2015-05-02 04:00:00+00:00,17.048
2015-05-02 05:00:00+00:00,16.578
2015-05-02 06:00:00+00:00,16.874
2015-05-02 07:00:00+00:00,19.554
2015-05-02 08:00:00+00:00,22.378
2015-05-02 09:00:00+00:00,23.4
2015-05-02 10:00:00+00:00,23.739
2015-05-02 11:00:00+00:00,24.626
2015-05-02 12:00:00+00:00,24.575
2015-05-02 13:00:00+00:00,22.78
2015-05-02 14:00:00+00:00,21.285
2015-05-02 15:00:00+00:00,20.589
2015-05-02 16:00:00+00:00,20.672
2015-05-02 17:00:00+00:00,20.919
2015-05-02 18:00:00+00:00,21.665
2015-05-02 19:00:00+00:00,25.397
2015-05-02 20:00:00+00:00,25.438
2015-05-02 21:00:00+00:00,23.487
2015-05-02 22:00:00+00:00,21.54
2015-05-02 23:00:00+00:00,19.579
2015-05-03 00:00:00+00:00,18.249
2015-05-03 01:00:00+00:00,17.288
2015-05-03 02:00:00+00:00,16.805
2015-05-03 03:00:00+00:00,16.595
