date,value
2015-04-30 00:00:00+00:00,8.947
2015-05-01 00:00:00+00:00,116.047
2015-05-02 00:00:00+00:00,115.548
2015-05-03 00:00:00+00:00,114.71600000000001
2015-05-04 00:00:00+00:00,123.95
2015-05-05 00:00:00+00:00,129.135
2015-05-06 00:00:00+00:00,127.811
2015-05-07 00:00:00+00:00,131.521
2015-05-08 00:00:00+00:00,129.061
2015-05-09 00:00:00+00:00,112.855
2015-05-10 00:00:00+00:00,108.601
2015-05-11 00:00:00+00:00,114.42999999999999
2015-05-12 00:00:00+00:00,117.385
2015-05-13 00:00:00+00:00,117.691
2015-05-14 00:00:00+00:00,114.62
2015-05-15 00:00:00+00:00,106.993
2015-05-16 00:00:00+00:00,104.675
2015-05-17 00:00:00+00:00,103.172
2015-05-18 00:00:00+00:00,114.537
2015-05-19 00:00:00+00:00,112.221
2015-05-20 00:00:00+00:00,108.652
2015-05-21 00:00:00+00:00,118.949
2015-05-22 00:00:00+00:00,119.717
2015-05-23 00:00:00+00:00,109.853
2015-05-24 00:00:00+00:00,98.368
2015-05-25 00:00:00+00:00,107.852
2015-05-26 00:00:00+00:00,114.066
2015-05-27 00:00:00+00:00,118.203
2015-05-28 00:00:00+00:00,120.103
2015-05-29 00:00:00+00:00,113.216
2015-05-30 00:00:00+00:00,105.816
2015-05-31 00:00:00+00:00,8.046
2015-06-01 00:00:00+00:00,116.215
2015-06-02 00:00:00+00:00,116.086
2015-06-03 00:00:00+00:00,123.525
2015-06-04 00:00:00+00:00,122.194
2015-06-05 00:00:00+00:00,115.878
2015-06-06 00:00:00+00:00,116.077
2015-06-07 00:00:00+00:00,110.594
2015-06-08 00:00:00+00:00,123.656
2015-06-09 00:00:00+00:00,127.191
2015-06-10 00:00:00+00:00,129.63
2015-06-11 00:00:00+00:00,123.137
2015-06-12 00:00:00+00:00,118.662
2015-06-13 00:00:00+00:00,112.532
2015-06-14 00:00:00+00:00,110.631
2015-06-15 00:00:00+00:00,117.036
2015-06-16 00:00:00+00:00,119.456
2015-06-17 00:00:00+00:00,124.69
2015-06-18 00:00:00+00:00,115.477
2015-06-19 00:00:00+00:00,119.487
2015-06-20 00:00:00+00:00,115.074
2015-06-21 00:00:00+00:00,111.462
2015-06-22 00:00:00+00:00,111.373
2015-06-23 00:00:00+00:00,118.778
2015-06-24 00:00:00+00:00,117.774
2015-06-25 00:00:00+00:00,119.705
2015-06-26 00:00:00+00:00,122.518
2015-06-27 00:00:00+00:00,113.879
2015-06-28 00:00:00+00:00,114.68
2015-06-29 00:00:00+00:00,112.376
2015-06-30 00:00:00+00:00,9.145
2015-07-01 00:00:00+00:00,112.475
2015-07-02 00:00:00+00:00,112.957
2015-07-03 00:00:00+00:00,116.896
2015-07-04 00:00:00+00:00,109.139
2015-07-05 00:00:00+00:00,105.553
2015-07-06 00:00:00+00:00,110.899
2015-07-07 00:00:00+00:00,115.383
2015-07-08 00:00:00+00:00,117.689
2015-07-09 00:00:00+00:00,126.655
2015-07-10 00:00:00+00:00,128.721
2015-07-11 00:00:00+00:00,123.458
2015-07-12 00:00:00+00:00,117.953
2015-07-13 00:00:00+00:00,126.821
2015-07-14 00:00:00+00:00,128.24699999999999
2015-07-15 00:00:00+00:00,126.86
2015-07-16 00:00:00+00:00,124.084
2015-07-17 00:00:00+00:00,121.874
2015-07-18 00:00:00+00:00,120.131
2015-07-19 00:00:00+00:00,112.733
2015-07-20 00:00:00+00:00,123.292
2015-07-21 00:00:00+00:00,126.44
2015-07-22 00:00:00+00:00,129.862
2015-07-23 00:00:00+00:00,134.873
2015-07-24 00:00:00+00:00,128.675
2015-07-25 00:00:00+00:00,120.333
2015-07-26 00:00:00+00:00,117.888
2015-07-27 00:00:00+00:00,120.031
2015-07-28 00:00:00+00:00,123.519
2015-07-29 00:00:00+00:00,129.496
2015-07-30 00:00:00+00:00,127.07000000000001
2015-07-31 00:00:00+00:00,9.334
2015-08-01 00:00:00+00:00,120.62
2015-08-02 00:00:00+00:00,115.274
2015-08-03 00:00:00+00:00,117.501
2015-08-04 00:00:00+00:00,116.545
2015-08-05 00:00:00+00:00,124.577
2015-08-06 00:00:00+00:00,132.497
2015-08-07 00:00:00+00:00,132.389
2015-08-08 00:00:00+00:00,122.694
2015-08-09 00:00:00+00:00,119.001
2015-08-10 00:00:00+00:00,125.908
2015-08-11 00:00:00+00:00,128.395
2015-08-12 00:00:00+00:00,134.42499999999998
2015-08-13 00:00:00+00:00,135.653
2015-08-14 00:00:00+00:00,137.496
2015-08-15 00:00:00+00:00,122.081
2015-08-16 00:00:00+00:00,120.351
2015-08-17 00:00:00+00:00,127.733
2015-08-18 00:00:00+00:00,133.356
2015-08-19 00:00:00+00:00,138.885
2015-08-20 00:00:00+00:00,137.659
2015-08-21 00:00:00+00:00,129.659
2015-08-22 00:00:00+00:00,119.963
2015-08-23 00:00:00+00:00,117.49
2015-08-24 00:00:00+00:00,120.462
2015-08-25 00:00:00+00:00,130.242
2015-08-26 00:00:00+00:00,136.484
2015-08-27 00:00:00+00:00,136.946
2015-08-28 00:00:00+00:00,135.933
2015-08-29 00:00:00+00:00,121.064
2015-08-30 00:00:00+00:00,114.81099999999999
2015-08-31 00:00:00+00:00,9.420000000000002
2015-09-01 00:00:00+00:00,130.082
2015-09-02 00:00:00+00:00,133.827
2015-09-03 00:00:00+00:00,131.494
2015-09-04 00:00:00+00:00,126.391
2015-09-05 00:00:00+00:00,118.58200000000001
2015-09-06 00:00:00+00:00,117.015
2015-09-07 00:00:00+00:00,126.298
2015-09-08 00:00:00+00:00,132.115
2015-09-09 00:00:00+00:00,137.111
2015-09-10 00:00:00+00:00,134.292
2015-09-11 00:00:00+00:00,136.084
2015-09-12 00:00:00+00:00,121.224
2015-09-13 00:00:00+00:00,113.552
2015-09-14 00:00:00+00:00,126.006
2015-09-15 00:00:00+00:00,124.693
2015-09-16 00:00:00+00:00,125.627
2015-09-17 00:00:00+00:00,125.956
2015-09-18 00:00:00+00:00,121.614
2015-09-19 00:00:00+00:00,116.704
2015-09-20 00:00:00+00:00,112.854
2015-09-21 00:00:00+00:00,115.727
2015-09-22 00:00:00+00:00,124.669
2015-09-23 00:00:00+00:00,137.851
2015-09-24 00:00:00+00:00,117.733
2015-09-25 00:00:00+00:00,128.811
2015-09-26 00:00:00+00:00,125.374
2015-09-27 00:00:00+00:00,112.633
2015-09-28 00:00:00+00:00,119.059
2015-09-29 00:00:00+00:00,114.719
2015-09-30 00:00:00+00:00,8.613
2015-10-01 00:00:00+00:00,127.68599999999999
2015-10-02 00:00:00+00:00,122.407
2015-10-03 00:00:00+00:00,112.019
2015-10-04 00:00:00+00:00,107.174
2015-10-05 00:00:00+00:00,113.872
2015-10-06 00:00:00+00:00,109.687
2015-10-07 00:00:00+00:00,112.322
2015-10-08 00:00:00+00:00,123.194
2015-10-09 00:00:00+00:00,122.73
2015-10-10 00:00:00+00:00,118.151
2015-10-11 00:00:00+00:00,126.87
2015-10-12 00:00:00+00:00,121.257
2015-10-13 00:00:00+00:00,118.762
2015-10-14 00:00:00+00:00,115.133
2015-10-15 00:00:00+00:00,113.33800000000001
2015-10-16 00:00:00+00:00,110.889
2015-10-17 00:00:00+00:00,110.517
2015-10-18 00:00:00+00:00,107.664
2015-10-19 00:00:00+00:00,121.017
2015-10-20 00:00:00+00:00,120.29
2015-10-21 00:00:00+00:00,111.427
2015-10-22 00:00:00+00:00,115.109
2015-10-23 00:00:00+00:00,108.889
2015-10-24 00:00:00+00:00,106.908
2015-10-25 00:00:00+00:00,101.344
2015-10-26 00:00:00+00:00,107.15
2015-10-27 00:00:00+00:00,111.28099999999999
2015-10-28 00:00:00+00:00,107.369
2015-10-29 00:00:00+00:00,113.488
2015-10-30 00:00:00+00:00,108.769
2015-10-31 00:00:00+00:00,3.889
2015-11-01 00:00:00+00:00,98.828
2015-11-02 00:00:00+00:00,101.21000000000001
2015-11-03 00:00:00+00:00,107.216
2015-11-04 00:00:00+00:00,110.978
2015-11-05 00:00:00+00:00,106.794
2015-11-06 00:00:00+00:00,101.132
2015-11-07 00:00:00+00:00,99.901
2015-11-08 00:00:00+00:00,97.73
2015-11-09 00:00:00+00:00,113.454
2015-11-10 00:00:00+00:00,116.976
2015-11-11 00:00:00+00:00,109.126
2015-11-12 00:00:00+00:00,109.058
2015-11-13 00:00:00+00:00,110.37
2015-11-14 00:00:00+00:00,100.365
2015-11-15 00:00:00+00:00,98.91
2015-11-16 00:00:00+00:00,111.404
2015-11-17 00:00:00+00:00,111.5
2015-11-18 00:00:00+00:00,122.41
2015-11-19 00:00:00+00:00,111.175
2015-11-20 00:00:00+00:00,107.626
2015-11-21 00:00:00+00:00,103.086
2015-11-22 00:00:00+00:00,101.356
2015-11-23 00:00:00+00:00,103.929
2015-11-24 00:00:00+00:00,109.544
2015-11-25 00:00:00+00:00,117.767
2015-11-26 00:00:00+00:00,115.843
2015-11-27 00:00:00+00:00,108.038
2015-11-28 00:00:00+00:00,99.176
2015-11-29 00:00:00+00:00,97.35
2015-11-30 00:00:00+00:00,3.753
2015-12-01 00:00:00+00:00,118.696
2015-12-02 00:00:00+00:00,127.157
2015-12-03 00:00:00+00:00,105.544
2015-12-04 00:00:00+00:00,108.925
2015-12-05 00:00:00+00:00,107.601
2015-12-06 00:00:00+00:00,105.848
2015-12-07 00:00:00+00:00,115.187
2015-12-08 00:00:00+00:00,108.643
2015-12-09 00:00:00+00:00,111.452
2015-12-10 00:00:00+00:00,113.55
2015-12-11 00:00:00+00:00,115.48
2015-12-12 00:00:00+00:00,109.389
2015-12-13 00:00:00+00:00,108.163
2015-12-14 00:00:00+00:00,114.306
2015-12-15 00:00:00+00:00,112.703
2015-12-16 00:00:00+00:00,118.393
2015-12-17 00:00:00+00:00,119.641
2015-12-18 00:00:00+00:00,111.869
2015-12-19 00:00:00+00:00,110.763
2015-12-20 00:00:00+00:00,106.515
2015-12-21 00:00:00+00:00,113.185
2015-12-22 00:00:00+00:00,122.015
2015-12-23 00:00:00+00:00,121.22
2015-12-24 00:00:00+00:00,122.688
2015-12-25 00:00:00+00:00,114.756
2015-12-26 00:00:00+00:00,124.092
2015-12-27 00:00:00+00:00,111.868
2015-12-28 00:00:00+00:00,116.951
2015-12-29 00:00:00+00:00,127.437
2015-12-30 00:00:00+00:00,131.699
2015-12-31 00:00:00+00:00,5.041
2016-01-01 00:00:00+00:00,116.169
2016-01-02 00:00:00+00:00,119.814
2016-01-03 00:00:00+00:00,117.004
2016-01-04 00:00:00+00:00,119.627
2016-01-05 00:00:00+00:00,122.62700000000001
2016-01-06 00:00:00+00:00,116.89699999999999
2016-01-07 00:00:00+00:00,124.723
2016-01-08 00:00:00+00:00,126.17699999999999
2016-01-09 00:00:00+00:00,113.86800000000001
2016-01-10 00:00:00+00:00,113.79
2016-01-11 00:00:00+00:00,121.041
2016-01-12 00:00:00+00:00,123.471
2016-01-13 00:00:00+00:00,119.892
2016-01-14 00:00:00+00:00,118.01899999999999
2016-01-15 00:00:00+00:00,118.391
2016-01-16 00:00:00+00:00,115.851
2016-01-17 00:00:00+00:00,109.949
2016-01-18 00:00:00+00:00,120.812
2016-01-19 00:00:00+00:00,123.98
2016-01-20 00:00:00+00:00,119.045
2016-01-21 00:00:00+00:00,116.565
2016-01-22 00:00:00+00:00,110.316
2016-01-23 00:00:00+00:00,109.706
2016-01-24 00:00:00+00:00,107.173
2016-01-25 00:00:00+00:00,114.31
2016-01-26 00:00:00+00:00,113.117
2016-01-27 00:00:00+00:00,117.861
2016-01-28 00:00:00+00:00,118.017
2016-01-29 00:00:00+00:00,117.144
2016-01-30 00:00:00+00:00,117.974
2016-01-31 00:00:00+00:00,3.964
2016-02-01 00:00:00+00:00,114.291
2016-02-02 00:00:00+00:00,114.738
2016-02-03 00:00:00+00:00,117.388
2016-02-04 00:00:00+00:00,116.658
2016-02-05 00:00:00+00:00,111.649
2016-02-06 00:00:00+00:00,109.801
2016-02-07 00:00:00+00:00,108.315
2016-02-08 00:00:00+00:00,113.651
2016-02-09 00:00:00+00:00,116.166
2016-02-10 00:00:00+00:00,119.14099999999999
2016-02-11 00:00:00+00:00,115.19
2016-02-12 00:00:00+00:00,121.106
2016-02-13 00:00:00+00:00,114.172
2016-02-14 00:00:00+00:00,109.988
2016-02-15 00:00:00+00:00,112.294
2016-02-16 00:00:00+00:00,114.932
2016-02-17 00:00:00+00:00,120.061
2016-02-18 00:00:00+00:00,103.3
2016-02-19 00:00:00+00:00,106.722
2016-02-20 00:00:00+00:00,108.02
2016-02-21 00:00:00+00:00,103.661
2016-02-22 00:00:00+00:00,112.312
2016-02-23 00:00:00+00:00,110.81700000000001
2016-02-24 00:00:00+00:00,116.477
2016-02-25 00:00:00+00:00,122.633
2016-02-26 00:00:00+00:00,118.287
2016-02-27 00:00:00+00:00,117.457
2016-02-28 00:00:00+00:00,108.394
2016-02-29 00:00:00+00:00,3.725
2016-03-01 00:00:00+00:00,117.134
2016-03-02 00:00:00+00:00,115.838
