datetime,value
2015-04-30 22:00:00+00:00,4.668
2015-04-30 23:00:00+00:00,4.279
2015-05-01 00:00:00+00:00,4.224
2015-05-01 01:00:00+00:00,4.266
2015-05-01 02:00:00+00:00,3.845
2015-05-01 03:00:00+00:00,3.862
2015-05-01 04:00:00+00:00,3.983
2015-05-01 05:00:00+00:00,4.298
2015-05-01 06:00:00+00:00,4.831
2015-05-01 07:00:00+00:00,5.209
2015-05-01 08:00:00+00:00,5.4
2015-05-01 09:00:00+00:00,5.284
2015-05-01 10:00:00+00:00,5.607
2015-05-01 11:00:00+00:00,5.385
2015-05-01 12:00:00+00:00,5.266
2015-05-01 13:00:00+00:00,5.01
2015-05-01 14:00:00+00:00,4.925
2015-05-01 15:00:00+00:00,4.869
2015-05-01 16:00:00+00:00,4.847
2015-05-01 17:00:00+00:00,4.729
2015-05-01 18:00:00+00:00,5.151
2015-05-01 19:00:00+00:00,5.939
2015-05-01 20:00:00+00:00,5.5
2015-05-01 21:00:00+00:00,4.973
2015-05-01 22:00:00+00:00,4.463
2015-05-01 23:00:00+00:00,4.181
2015-05-02 00:00:00+00:00,4.134
2015-05-02 01:00:00+00:00,4.219
2015-05-02 02:00:00+00:00,3.98
2015-05-02 03:00:00+00:00,3.942
2015-05-02 04:00:00+00:00,4.26
2015-05-02 05:00:00+00:00,4.543
2015-05-02 06:00:00+00:00,4.866
2015-05-02 07:00:00+00:00,5.297
2015-05-02 08:00:00+00:00,5.302
2015-05-02 09:00:00+00:00,5.672
2015-05-02 10:00:00+00:00,5.388
2015-05-02 11:00:00+00:00,5.267
2015-05-02 12:00:00+00:00,5.205
2015-05-02 13:00:00+00:00,4.702
2015-05-02 14:00:00+00:00,4.751
2015-05-02 15:00:00+00:00,4.744
2015-05-02 16:00:00+00:00,5.076
2015-05-02 17:00:00+00:00,4.794
2015-05-02 18:00:00+00:00,5.024
2015-05-02 19:00:00+00:00,5.491
2015-05-02 20:00:00+00:00,5.258
2015-05-02 21:00:00+00:00,4.902
2015-05-02 22:00:00+00:00,4.308
2015-05-02 23:00:00+00:00,4.423
2015-05-03 00:00:00+00:00,4.248
2015-05-03 01:00:00+00:00,4.109
2015-05-03 02:00:00+00:00,4.001
2015-05-03 03:00:00+00:00,3.85
2015-05-03 04:00:00+00:00,3.788
2015-05-03 05:00:00+00:00,3.899
2015-05-03 06:00:00+00:00,4.66
2015-05-03 07:00:00+00:00,4.922
2015-05-03 08:00:00+00:00,5.051
2015-05-03 09:00:00+00:00,5.141
2015-05-03 10:00:00+00:00,5.403
2015-05-03 11:00:00+00:00,5.502
2015-05-03 12:00:00+00:00,5.453
2015-05-03 13:00:00+00:00,5.244
2015-05-03 14:00:00+00:00,4.961
2015-05-03 15:00:00+00:00,4.916
2015-05-03 16:00:00+00:00,4.78
2015-05-03 17:00:00+00:00,5.037
2015-05-03 18:00:00+00:00,5.319
2015-05-03 19:00:00+00:00,5.744
2015-05-03 20:00:00+00:00,5.429
2015-05-03 21:00:00+00:00,4.799
2015-05-03 22:00:00+00:00,4.384
2015-05-03 23:00:00+00:00,4.076
2015-05-04 00:00:00+00:00,4.027
2015-05-04 01:00:00+00:00,4.079
2015-05-04 02:00:00+00:00,4.27
2015-05-04 03:00:00+00:00,4.231
2015-05-04 04:00:00+00:00,4.302
2015-05-04 05:00:00+00:00,4.869
2015-05-04 06:00:00+00:00,5.358
2015-05-04 07:00:00+00:00,5.64
2015-05-04 08:00:00+00:00,5.433
2015-05-04 09:00:00+00:00,5.557
2015-05-04 10:00:00+00:00,5.938
2015-05-04 11:00:00+00:00,5.814
2015-05-04 12:00:00+00:00,5.885
2015-05-04 13:00:00+00:00,5.469
2015-05-04 14:00:00+00:00,5.27
2015-05-04 15:00:00+00:00,5.475
2015-05-04 16:00:00+00:00,5.375
2015-05-04 17:00:00+00:00,5.375
2015-05-04 18:00:00+00:00,5.679
2015-05-04 19:00:00+00:00,5.996
2015-05-04 20:00:00+00:00,5.772
2015-05-04 21:00:00+00:00,5.124
2015-05-04 22:00:00+00:00,4.55
2015-05-04 23:00:00+00:00,4.462
2015-05-05 00:00:00+00:00,4.442
2015-05-05 01:00:00+00:00,4.604
2015-05-05 02:00:00+00:00,4.332
2015-05-05 03:00:00+00:00,4.368
2015-05-05 04:00:00+00:00,4.819
2015-05-05 05:00:00+00:00,5.224
2015-05-05 06:00:00+00:00,5.743
2015-05-05 07:00:00+00:00,5.98
2015-05-05 08:00:00+00:00,6.066
2015-05-05 09:00:00+00:00,5.951
2015-05-05 10:00:00+00:00,6.2
2015-05-05 11:00:00+00:00,6.064
2015-05-05 12:00:00+00:00,6.234
2015-05-05 13:00:00+00:00,5.87
2015-05-05 14:00:00+00:00,5.489
2015-05-05 15:00:00+00:00,5.566
2015-05-05 16:00:00+00:00,5.288
2015-05-05 17:00:00+00:00,5.277
2015-05-05 18:00:00+00:00,5.448
2015-05-05 19:00:00+00:00,5.897
2015-05-05 20:00:00+00:00,5.897
2015-05-05 21:00:00+00:00,5.222
2015-05-05 22:00:00+00:00,4.628
2015-05-05 23:00:00+00:00,4.526
2015-05-06 00:00:00+00:00,4.321
2015-05-06 01:00:00+00:00,4.253
2015-05-06 02:00:00+00:00,4.25
