datetime,value
2015-04-30 22:00:00+00:00,325.167
2015-04-30 23:00:00+00:00,296.758
2015-05-01 00:00:00+00:00,278.269
2015-05-01 01:00:00+00:00,268.877
2015-05-01 02:00:00+00:00,264.523
2015-05-01 03:00:00+00:00,262.116
2015-05-01 04:00:00+00:00,267.245
2015-05-01 05:00:00+00:00,267.976
2015-05-01 06:00:00+00:00,297.707
2015-05-01 07:00:00+00:00,337.588
2015-05-01 08:00:00+00:00,365.75
2015-05-01 09:00:00+00:00,371.894
2015-05-01 10:00:00+00:00,375.308
2015-05-01 11:00:00+00:00,378.935
2015-05-01 12:00:00+00:00,364.239
2015-05-01 13:00:00+00:00,338.348
2015-05-01 14:00:00+00:00,323.502
2015-05-01 15:00:00+00:00,325.538
2015-05-01 16:00:00+00:00,332.943
2015-05-01 17:00:00+00:00,346.34
2015-05-01 18:00:00+00:00,377.63
2015-05-01 19:00:00+00:00,413.92
2015-05-01 20:00:00+00:00,383.882
2015-05-01 21:00:00+00:00,341.533
2015-05-01 22:00:00+00:00,306.043
2015-05-01 23:00:00+00:00,281.491
2015-05-02 00:00:00+00:00,265.388
2015-05-02 01:00:00+00:00,256.853
2015-05-02 02:00:00+00:00,255.002
2015-05-02 03:00:00+00:00,259.274
2015-05-02 04:00:00+00:00,280.258
2015-05-02 05:00:00+00:00,287.091
2015-05-02 06:00:00+00:00,324.935
2015-05-02 07:00:00+00:00,374.397
2015-05-02 08:00:00+00:00,404.508
2015-05-02 09:00:00+00:00,403.778
2015-05-02 10:00:00+00:00,407.571
2015-05-02 11:00:00+00:00,410.238
2015-05-02 12:00:00+00:00,399.974
2015-05-02 13:00:00+00:00,375.967
2015-05-02 14:00:00+00:00,363.416
2015-05-02 15:00:00+00:00,365.506
2015-05-02 16:00:00+00:00,370.752
2015-05-02 17:00:00+00:00,377.026
2015-05-02 18:00:00+00:00,400.88
2015-05-02 19:00:00+00:00,433.868
2015-05-02 20:00:00+00:00,393.207
2015-05-02 21:00:00+00:00,349.141
2015-05-02 22:00:00+00:00,311.295
2015-05-02 23:00:00+00:00,284.891
2015-05-03 00:00:00+00:00,267.535
2015-05-03 01:00:00+00:00,257.131
2015-05-03 02:00:00+00:00,252.281
2015-05-03 03:00:00+00:00,253.916
2015-05-03 04:00:00+00:00,260.759
2015-05-03 05:00:00+00:00,257.904
2015-05-03 06:00:00+00:00,285.216
2015-05-03 07:00:00+00:00,323.109
2015-05-03 08:00:00+00:00,349.344
2015-05-03 09:00:00+00:00,357.491
2015-05-03 10:00:00+00:00,359.003
2015-05-03 11:00:00+00:00,361.186
2015-05-03 12:00:00+00:00,350.027
2015-05-03 13:00:00+00:00,328.563
2015-05-03 14:00:00+00:00,319.464
2015-05-03 15:00:00+00:00,323.002
2015-05-03 16:00:00+00:00,332.743
2015-05-03 17:00:00+00:00,349.182
2015-05-03 18:00:00+00:00,387.705
2015-05-03 19:00:00+00:00,421.14
2015-05-03 20:00:00+00:00,384.439
2015-05-03 21:00:00+00:00,335.794
2015-05-03 22:00:00+00:00,298.696
2015-05-03 23:00:00+00:00,273.656
2015-05-04 00:00:00+00:00,260.256
2015-05-04 01:00:00+00:00,255.582
2015-05-04 02:00:00+00:00,256.386
2015-05-04 03:00:00+00:00,267.138
2015-05-04 04:00:00+00:00,305.505
2015-05-04 05:00:00+00:00,348.536
2015-05-04 06:00:00+00:00,385.487
2015-05-04 07:00:00+00:00,421.307
2015-05-04 08:00:00+00:00,443.022
2015-05-04 09:00:00+00:00,449.863
2015-05-04 10:00:00+00:00,458.924
2015-05-04 11:00:00+00:00,464.022
2015-05-04 12:00:00+00:00,453.62
2015-05-04 13:00:00+00:00,432.055
2015-05-04 14:00:00+00:00,420.177
2015-05-04 15:00:00+00:00,419.984
2015-05-04 16:00:00+00:00,419.635
2015-05-04 17:00:00+00:00,429.19
2015-05-04 18:00:00+00:00,460.701
2015-05-04 19:00:00+00:00,480.361
2015-05-04 20:00:00+00:00,413.401
2015-05-04 21:00:00+00:00,353.561
2015-05-04 22:00:00+00:00,312.128
2015-05-04 23:00:00+00:00,285.408
2015-05-05 00:00:00+00:00,271.794
2015-05-05 01:00:00+00:00,266.695
2015-05-05 02:00:00+00:00,266.677
2015-05-05 03:00:00+00:00,277.172
2015-05-05 04:00:00+00:00,317.552
2015-05-05 05:00:00+00:00,365.576
2015-05-05 06:00:00+00:00,398.561
2015-05-05 07:00:00+00:00,426.295
2015-05-05 08:00:00+00:00,444.201
2015-05-05 09:00:00+00:00,445.649
2015-05-05 10:00:00+00:00,452.977
2015-05-05 11:00:00+00:00,455.085
2015-05-05 12:00:00+00:00,446.327
2015-05-05 13:00:00+00:00,425.884
2015-05-05 14:00:00+00:00,415.072
2015-05-05 15:00:00+00:00,412.821
2015-05-05 16:00:00+00:00,410.748
2015-05-05 17:00:00+00:00,418.126
2015-05-05 18:00:00+00:00,444.328
2015-05-05 19:00:00+00:00,473.036
2015-05-05 20:00:00+00:00,415.728
2015-05-05 21:00:00+00:00,358.307
2015-05-05 22:00:00+00:00,314.769
2015-05-05 23:00:00+00:00,286.748
2015-05-06 00:00:00+00:00,273.848
2015-05-06 01:00:00+00:00,268.847
2015-05-06 02:00:00+00:00,268.808
2015-05-06 03:00:00+00:00,278.798
2015-05-06 04:00:00+00:00,318.869
2015-05-06 05:00:00+00:00,367.166
2015-05-06 06:00:00+00:00,398.147
2015-05-06 07:00:00+00:00,425.166
2015-05-06 08:00:00+00:00,440.971
2015-05-06 09:00:00+00:00,446.766
2015-05-06 10:00:00+00:00,455.17
2015-05-06 11:00:00+00:00,455.882
2015-05-06 12:00:00+00:00,444.325
2015-05-06 13:00:00+00:00,423.841
2015-05-06 14:00:00+00:00,416.118
2015-05-06 15:00:00+00:00,416.341
2015-05-06 16:00:00+00:00,418.159
2015-05-06 17:00:00+00:00,426.016
2015-05-06 18:00:00+00:00,446.187
2015-05-06 19:00:00+00:00,472.767
2015-05-06 20:00:00+00:00,421.619
2015-05-06 21:00:00+00:00,359.944
2015-05-06 22:00:00+00:00,318.285
2015-05-06 23:00:00+00:00,291.242
2015-05-07 00:00:00+00:00,276.48
2015-05-07 01:00:00+00:00,270.737
2015-05-07 02:00:00+00:00,270.724
2015-05-07 03:00:00+00:00,280.834
2015-05-07 04:00:00+00:00,320.301
2015-05-07 05:00:00+00:00,365.292
2015-05-07 06:00:00+00:00,399.724
2015-05-07 07:00:00+00:00,426.925
2015-05-07 08:00:00+00:00,445.291
2015-05-07 09:00:00+00:00,446.466
2015-05-07 10:00:00+00:00,455.108
2015-05-07 11:00:00+00:00,457.368
2015-05-07 12:00:00+00:00,448.99
2015-05-07 13:00:00+00:00,426.484
2015-05-07 14:00:00+00:00,417.533
2015-05-07 15:00:00+00:00,419.667
2015-05-07 16:00:00+00:00,419.004
2015-05-07 17:00:00+00:00,424.714
2015-05-07 18:00:00+00:00,452.436
2015-05-07 19:00:00+00:00,481.768
2015-05-07 20:00:00+00:00,422.232
2015-05-07 21:00:00+00:00,362.445
2015-05-07 22:00:00+00:00,319.6
2015-05-07 23:00:00+00:00,291.391
2015-05-08 00:00:00+00:00,275.971
