datetime,value
2015-04-30 22:00:00+00:00,6.837
2015-04-30 23:00:00+00:00,6.449
2015-05-01 00:00:00+00:00,6.336
2015-05-01 01:00:00+00:00,6.164
2015-05-01 02:00:00+00:00,5.91
2015-05-01 03:00:00+00:00,6.047
2015-05-01 04:00:00+00:00,6.146
2015-05-01 05:00:00+00:00,6.434
2015-05-01 06:00:00+00:00,6.97
2015-05-01 07:00:00+00:00,7.643
2015-05-01 08:00:00+00:00,7.697
2015-05-01 09:00:00+00:00,7.521
2015-05-01 10:00:00+00:00,7.436
2015-05-01 11:00:00+00:00,7.502
2015-05-01 12:00:00+00:00,7.309
2015-05-01 13:00:00+00:00,6.848
2015-05-01 14:00:00+00:00,6.892
2015-05-01 15:00:00+00:00,6.969
2015-05-01 16:00:00+00:00,7.041
2015-05-01 17:00:00+00:00,7.125
2015-05-01 18:00:00+00:00,7.819
2015-05-01 19:00:00+00:00,8.865
2015-05-01 20:00:00+00:00,8.208
2015-05-01 21:00:00+00:00,7.303
2015-05-01 22:00:00+00:00,7.007
2015-05-01 23:00:00+00:00,6.576
2015-05-02 00:00:00+00:00,6.271
2015-05-02 01:00:00+00:00,6.067
2015-05-02 02:00:00+00:00,5.97
2015-05-02 03:00:00+00:00,6.256
2015-05-02 04:00:00+00:00,6.315
2015-05-02 05:00:00+00:00,6.472
2015-05-02 06:00:00+00:00,7.426
2015-05-02 07:00:00+00:00,8.417
2015-05-02 08:00:00+00:00,8.386
2015-05-02 09:00:00+00:00,8.07
2015-05-02 10:00:00+00:00,7.78
2015-05-02 11:00:00+00:00,7.781
2015-05-02 12:00:00+00:00,7.627
2015-05-02 13:00:00+00:00,7.253
2015-05-02 14:00:00+00:00,6.929
2015-05-02 15:00:00+00:00,7.234
2015-05-02 16:00:00+00:00,7.288
2015-05-02 17:00:00+00:00,7.31
2015-05-02 18:00:00+00:00,7.754
2015-05-02 19:00:00+00:00,8.783
2015-05-02 20:00:00+00:00,8.337
2015-05-02 21:00:00+00:00,7.485
2015-05-02 22:00:00+00:00,6.813
2015-05-02 23:00:00+00:00,6.327
2015-05-03 00:00:00+00:00,6.353
2015-05-03 01:00:00+00:00,6.145
2015-05-03 02:00:00+00:00,5.963
2015-05-03 03:00:00+00:00,6.034
2015-05-03 04:00:00+00:00,6.209
2015-05-03 05:00:00+00:00,6.189
2015-05-03 06:00:00+00:00,6.784
2015-05-03 07:00:00+00:00,7.503
2015-05-03 08:00:00+00:00,7.828
2015-05-03 09:00:00+00:00,7.388
2015-05-03 10:00:00+00:00,7.234
2015-05-03 11:00:00+00:00,7.273
2015-05-03 12:00:00+00:00,6.993
2015-05-03 13:00:00+00:00,6.696
2015-05-03 14:00:00+00:00,6.574
2015-05-03 15:00:00+00:00,6.755
2015-05-03 16:00:00+00:00,7.023
2015-05-03 17:00:00+00:00,7.191
2015-05-03 18:00:00+00:00,7.755
2015-05-03 19:00:00+00:00,8.888
2015-05-03 20:00:00+00:00,8.209
2015-05-03 21:00:00+00:00,7.383
2015-05-03 22:00:00+00:00,6.7
2015-05-03 23:00:00+00:00,6.276
2015-05-04 00:00:00+00:00,6.289
