date,value
2015-04-30 00:00:00+00:00,48.954
2015-05-01 00:00:00+00:00,629.739
2015-05-02 00:00:00+00:00,659.002
2015-05-03 00:00:00+00:00,620.397
2015-05-04 00:00:00+00:00,680.625
2015-05-05 00:00:00+00:00,693.539
2015-05-06 00:00:00+00:00,687.7330000000001
2015-05-07 00:00:00+00:00,695.195
2015-05-08 00:00:00+00:00,692.858
2015-05-09 00:00:00+00:00,664.4879999999999
2015-05-10 00:00:00+00:00,628.315
2015-05-11 00:00:00+00:00,694.311
2015-05-12 00:00:00+00:00,702.763
2015-05-13 00:00:00+00:00,710.7810000000001
2015-05-14 00:00:00+00:00,720.838
2015-05-15 00:00:00+00:00,724.787
2015-05-16 00:00:00+00:00,695.378
2015-05-17 00:00:00+00:00,640.773
2015-05-18 00:00:00+00:00,691.542
2015-05-19 00:00:00+00:00,687.8870000000001
2015-05-20 00:00:00+00:00,685.374
2015-05-21 00:00:00+00:00,688.373
2015-05-22 00:00:00+00:00,679.99
2015-05-23 00:00:00+00:00,655.19
2015-05-24 00:00:00+00:00,618.747
2015-05-25 00:00:00+00:00,690.448
2015-05-26 00:00:00+00:00,698.863
2015-05-27 00:00:00+00:00,690.048
2015-05-28 00:00:00+00:00,693.983
2015-05-29 00:00:00+00:00,688.737
2015-05-30 00:00:00+00:00,639.374
2015-05-31 00:00:00+00:00,45.487
2015-06-01 00:00:00+00:00,666.7909999999999
2015-06-02 00:00:00+00:00,684.702
2015-06-03 00:00:00+00:00,674.964
2015-06-04 00:00:00+00:00,676.984
2015-06-05 00:00:00+00:00,674.979
2015-06-06 00:00:00+00:00,680.107
2015-06-07 00:00:00+00:00,643.988
2015-06-08 00:00:00+00:00,691.66
2015-06-09 00:00:00+00:00,700.543
2015-06-10 00:00:00+00:00,688.542
2015-06-11 00:00:00+00:00,688.005
2015-06-12 00:00:00+00:00,687.206
2015-06-13 00:00:00+00:00,677.86
2015-06-14 00:00:00+00:00,640.1800000000001
2015-06-15 00:00:00+00:00,675.674
2015-06-16 00:00:00+00:00,668.886
2015-06-17 00:00:00+00:00,660.5169999999999
2015-06-18 00:00:00+00:00,665.884
2015-06-19 00:00:00+00:00,680.413
2015-06-20 00:00:00+00:00,681.844
2015-06-21 00:00:00+00:00,649.769
2015-06-22 00:00:00+00:00,685.574
2015-06-23 00:00:00+00:00,696.1759999999999
2015-06-24 00:00:00+00:00,699.457
2015-06-25 00:00:00+00:00,703.471
2015-06-26 00:00:00+00:00,707.119
2015-06-27 00:00:00+00:00,696.134
2015-06-28 00:00:00+00:00,667.102
2015-06-29 00:00:00+00:00,653.408
2015-06-30 00:00:00+00:00,52.955
2015-07-01 00:00:00+00:00,729.498
2015-07-02 00:00:00+00:00,717.791
2015-07-03 00:00:00+00:00,708.285
2015-07-04 00:00:00+00:00,704.4780000000001
2015-07-05 00:00:00+00:00,675.549
2015-07-06 00:00:00+00:00,714.255
2015-07-07 00:00:00+00:00,757.582
2015-07-08 00:00:00+00:00,788.514
2015-07-09 00:00:00+00:00,804.845
2015-07-10 00:00:00+00:00,797.134
2015-07-11 00:00:00+00:00,778.216
2015-07-12 00:00:00+00:00,715.644
2015-07-13 00:00:00+00:00,746.937
2015-07-14 00:00:00+00:00,768.495
2015-07-15 00:00:00+00:00,779.069
2015-07-16 00:00:00+00:00,765.534
2015-07-17 00:00:00+00:00,763.364
2015-07-18 00:00:00+00:00,747.799
2015-07-19 00:00:00+00:00,704.617
2015-07-20 00:00:00+00:00,739.04
2015-07-21 00:00:00+00:00,748.61
2015-07-22 00:00:00+00:00,741.697
2015-07-23 00:00:00+00:00,754.6370000000001
2015-07-24 00:00:00+00:00,754.102
2015-07-25 00:00:00+00:00,740.167
2015-07-26 00:00:00+00:00,695.0
2015-07-27 00:00:00+00:00,739.24
2015-07-28 00:00:00+00:00,751.926
2015-07-29 00:00:00+00:00,735.631
2015-07-30 00:00:00+00:00,713.873
2015-07-31 00:00:00+00:00,55.163
2015-08-01 00:00:00+00:00,729.02
2015-08-02 00:00:00+00:00,684.451
2015-08-03 00:00:00+00:00,734.341
2015-08-04 00:00:00+00:00,740.077
2015-08-05 00:00:00+00:00,677.032
2015-08-06 00:00:00+00:00,750.943
2015-08-07 00:00:00+00:00,752.546
2015-08-08 00:00:00+00:00,734.243
2015-08-09 00:00:00+00:00,653.646
2015-08-10 00:00:00+00:00,750.534
2015-08-11 00:00:00+00:00,759.441
2015-08-12 00:00:00+00:00,756.489
2015-08-13 00:00:00+00:00,779.174
2015-08-14 00:00:00+00:00,778.583
