datetime,value
2015-04-30 22:00:00+00:00,309.661
2015-04-30 23:00:00+00:00,279.663
2015-05-01 00:00:00+00:00,260.907
2015-05-01 01:00:00+00:00,253.062
2015-05-01 02:00:00+00:00,250.96
2015-05-01 03:00:00+00:00,254.871
2015-05-01 04:00:00+00:00,267.539
2015-05-01 05:00:00+00:00,278.181
2015-05-01 06:00:00+00:00,313.281
2015-05-01 07:00:00+00:00,355.194
2015-05-01 08:00:00+00:00,379.67
2015-05-01 09:00:00+00:00,380.706
2015-05-01 10:00:00+00:00,381.434
2015-05-01 11:00:00+00:00,389.309
2015-05-01 12:00:00+00:00,380.263
2015-05-01 13:00:00+00:00,356.144
2015-05-01 14:00:00+00:00,343.567
2015-05-01 15:00:00+00:00,344.915
2015-05-01 16:00:00+00:00,351.915
2015-05-01 17:00:00+00:00,362.816
2015-05-01 18:00:00+00:00,386.891
2015-05-01 19:00:00+00:00,424.062
2015-05-01 20:00:00+00:00,386.297
2015-05-01 21:00:00+00:00,340.2
2015-05-01 22:00:00+00:00,301.513
2015-05-01 23:00:00+00:00,274.633
2015-05-02 00:00:00+00:00,258.52
2015-05-02 01:00:00+00:00,251.053
2015-05-02 02:00:00+00:00,248.834
2015-05-02 03:00:00+00:00,254.759
2015-05-02 04:00:00+00:00,271.01
2015-05-02 05:00:00+00:00,287.828
2015-05-02 06:00:00+00:00,329.791
2015-05-02 07:00:00+00:00,380.622
2015-05-02 08:00:00+00:00,404.604
2015-05-02 09:00:00+00:00,404.739
2015-05-02 10:00:00+00:00,405.318
2015-05-02 11:00:00+00:00,414.653
2015-05-02 12:00:00+00:00,407.452
2015-05-02 13:00:00+00:00,385.99
2015-05-02 14:00:00+00:00,374.577
2015-05-02 15:00:00+00:00,376.884
2015-05-02 16:00:00+00:00,384.066
2015-05-02 17:00:00+00:00,392.514
2015-05-02 18:00:00+00:00,409.781
2015-05-02 19:00:00+00:00,438.539
2015-05-02 20:00:00+00:00,393.415
2015-05-02 21:00:00+00:00,344.473
2015-05-02 22:00:00+00:00,303.733
2015-05-02 23:00:00+00:00,276.528
2015-05-03 00:00:00+00:00,258.427
2015-05-03 01:00:00+00:00,250.77
2015-05-03 02:00:00+00:00,248.836
2015-05-03 03:00:00+00:00,251.544
2015-05-03 04:00:00+00:00,261.394
2015-05-03 05:00:00+00:00,251.812
2015-05-03 06:00:00+00:00,273.464
2015-05-03 07:00:00+00:00,318.857
2015-05-03 08:00:00+00:00,352.463
2015-05-03 09:00:00+00:00,363.559
2015-05-03 10:00:00+00:00,364.606
2015-05-03 11:00:00+00:00,367.041
2015-05-03 12:00:00+00:00,354.177
2015-05-03 13:00:00+00:00,333.311
2015-05-03 14:00:00+00:00,322.29
2015-05-03 15:00:00+00:00,328.222
2015-05-03 16:00:00+00:00,339.516
2015-05-03 17:00:00+00:00,351.051
2015-05-03 18:00:00+00:00,377.246
2015-05-03 19:00:00+00:00,409.784
2015-05-03 20:00:00+00:00,372.122
2015-05-03 21:00:00+00:00,325.902
2015-05-03 22:00:00+00:00,288.883
2015-05-03 23:00:00+00:00,263.774
2015-05-04 00:00:00+00:00,249.094
2015-05-04 01:00:00+00:00,244.097
2015-05-04 02:00:00+00:00,245.921
2015-05-04 03:00:00+00:00,256.026
2015-05-04 04:00:00+00:00,285.235
2015-05-04 05:00:00+00:00,328.005
2015-05-04 06:00:00+00:00,367.308
2015-05-04 07:00:00+00:00,398.196
2015-05-04 08:00:00+00:00,412.511
2015-05-04 09:00:00+00:00,416.213
2015-05-04 10:00:00+00:00,421.465
2015-05-04 11:00:00+00:00,428.192
2015-05-04 12:00:00+00:00,423.135
2015-05-04 13:00:00+00:00,402.032
2015-05-04 14:00:00+00:00,391.252
2015-05-04 15:00:00+00:00,394.798
2015-05-04 16:00:00+00:00,404.986
2015-05-04 17:00:00+00:00,417.113
2015-05-04 18:00:00+00:00,440.605
2015-05-04 19:00:00+00:00,459.786
2015-05-04 20:00:00+00:00,399.602
2015-05-04 21:00:00+00:00,345.674
2015-05-04 22:00:00+00:00,299.919
2015-05-04 23:00:00+00:00,273.343
2015-05-05 00:00:00+00:00,260.388
2015-05-05 01:00:00+00:00,254.907
2015-05-05 02:00:00+00:00,257.499
2015-05-05 03:00:00+00:00,269.085
2015-05-05 04:00:00+00:00,307.379
2015-05-05 05:00:00+00:00,369.785
2015-05-05 06:00:00+00:00,409.407
2015-05-05 07:00:00+00:00,434.887
2015-05-05 08:00:00+00:00,445.067
2015-05-05 09:00:00+00:00,448.599
2015-05-05 10:00:00+00:00,454.963
2015-05-05 11:00:00+00:00,459.546
2015-05-05 12:00:00+00:00,452.017
2015-05-05 13:00:00+00:00,430.726
2015-05-05 14:00:00+00:00,420.95
2015-05-05 15:00:00+00:00,421.586
2015-05-05 16:00:00+00:00,426.386
2015-05-05 17:00:00+00:00,436.532
2015-05-05 18:00:00+00:00,454.394
2015-05-05 19:00:00+00:00,475.735
2015-05-05 20:00:00+00:00,414.145
2015-05-05 21:00:00+00:00,353.946
2015-05-05 22:00:00+00:00,304.526
2015-05-05 23:00:00+00:00,277.782
2015-05-06 00:00:00+00:00,264.047
2015-05-06 01:00:00+00:00,258.744
2015-05-06 02:00:00+00:00,260.15
2015-05-06 03:00:00+00:00,270.205
2015-05-06 04:00:00+00:00,306.941
2015-05-06 05:00:00+00:00,368.095
2015-05-06 06:00:00+00:00,405.524
2015-05-06 07:00:00+00:00,428.02
2015-05-06 08:00:00+00:00,440.708
2015-05-06 09:00:00+00:00,443.984
2015-05-06 10:00:00+00:00,451.809
2015-05-06 11:00:00+00:00,454.657
2015-05-06 12:00:00+00:00,447.912
2015-05-06 13:00:00+00:00,426.977
2015-05-06 14:00:00+00:00,417.694
2015-05-06 15:00:00+00:00,419.331
2015-05-06 16:00:00+00:00,421.282
2015-05-06 17:00:00+00:00,428.782
2015-05-06 18:00:00+00:00,444.303
2015-05-06 19:00:00+00:00,466.65
2015-05-06 20:00:00+00:00,412.77
2015-05-06 21:00:00+00:00,355.559
2015-05-06 22:00:00+00:00,307.888
2015-05-06 23:00:00+00:00,279.474
2015-05-07 00:00:00+00:00,263.247
2015-05-07 01:00:00+00:00,257.911
2015-05-07 02:00:00+00:00,259.897
2015-05-07 03:00:00+00:00,271.277
2015-05-07 04:00:00+00:00,310.089
2015-05-07 05:00:00+00:00,365.82
2015-05-07 06:00:00+00:00,404.312
2015-05-07 07:00:00+00:00,430.532
2015-05-07 08:00:00+00:00,443.353
2015-05-07 09:00:00+00:00,445.501
2015-05-07 10:00:00+00:00,454.214
2015-05-07 11:00:00+00:00,460.264
2015-05-07 12:00:00+00:00,453.778
2015-05-07 13:00:00+00:00,433.013
2015-05-07 14:00:00+00:00,424.555
2015-05-07 15:00:00+00:00,425.92
2015-05-07 16:00:00+00:00,430.302
2015-05-07 17:00:00+00:00,439.729
2015-05-07 18:00:00+00:00,457.326
2015-05-07 19:00:00+00:00,481.561
2015-05-07 20:00:00+00:00,418.084
2015-05-07 21:00:00+00:00,358.804
2015-05-07 22:00:00+00:00,312.027
2015-05-07 23:00:00+00:00,281.551
2015-05-08 00:00:00+00:00,263.858
2015-05-08 01:00:00+00:00,259.761
2015-05-08 02:00:00+00:00,260.894
2015-05-08 03:00:00+00:00,271.506
2015-05-08 04:00:00+00:00,314.932
2015-05-08 05:00:00+00:00,370.802
2015-05-08 06:00:00+00:00,411.077
2015-05-08 07:00:00+00:00,437.839
2015-05-08 08:00:00+00:00,452.852
2015-05-08 09:00:00+00:00,456.091
2015-05-08 10:00:00+00:00,463.282
2015-05-08 11:00:00+00:00,465.572
2015-05-08 12:00:00+00:00,454.564
2015-05-08 13:00:00+00:00,432.265
2015-05-08 14:00:00+00:00,423.335
2015-05-08 15:00:00+00:00,422.751
2015-05-08 16:00:00+00:00,422.973
2015-05-08 17:00:00+00:00,423.945
2015-05-08 18:00:00+00:00,434.67
2015-05-08 19:00:00+00:00,458.87
2015-05-08 20:00:00+00:00,407.868
2015-05-08 21:00:00+00:00,355.91
2015-05-08 22:00:00+00:00,311.268
