zone,daily_ElasticNet_MAE,daily_ElasticNet_RMSE,daily_ElasticNet_MAPE,daily_Ridge_MAE,daily_Ridge_RMSE,daily_Ridge_MAPE,daily_RandomForest_MAE,daily_RandomForest_RMSE,daily_RandomForest_MAPE,daily_auto_arima_MAE,daily_auto_arima_RMSE,daily_auto_arima_MAPE,hourly_ElasticNet_MAE,hourly_ElasticNet_RMSE,hourly_ElasticNet_MAPE,hourly_Ridge_MAE,hourly_Ridge_RMSE,hourly_Ridge_MAPE,hourly_RandomForest_MAE,hourly_RandomForest_RMSE,hourly_RandomForest_MAPE,hourly_auto_arima_MAE,hourly_auto_arima_RMSE,hourly_auto_arima_MAPE
Peninsule_Iberique,13.898043256144785,20.114750856296258,0.0008266880669380839,3.309909639458393e-08,5.277098895345427e-08,2.245022458105075e-12,1132250.6282531193,1665226.737444431,63.138868393247115,3465927.1453434275,3562585.4309466262,75.13813192543999,8663.814967062268,18867.7981634459,inf,8663.814960261006,18867.79816333914,inf,7540.523308634939,14661.37601234609,3.939698124231667,inf,inf,inf
Baleares,1138.4930113614446,2215.3283593121328,37.23243269514124,1137.8623389651088,2207.9218126350715,37.11490817967623,1232.4841906417114,2685.103711238463,44.440573061158325,4901.705984276668,5890.648983724585,113.44745085988173,21.94318563609206,42.21440934933582,inf,21.918897096720453,42.209660816085524,inf,13.936947085589434,30.293592614001906,inf,inf,inf,inf
Canarias,1.5092463900076203,2.037871534256008,0.026580577188151804,5.83162020194418e-06,7.438675064048649e-06,8.856397845843222e-08,476.85209431372596,832.5881135390116,2.051604365098326,2472.312885187891,4416.503937061436,68.83862767327375,29.32057088521498,57.900014623427005,inf,29.169311053953546,57.89060440870796,inf,13.39425366201196,36.3655553572969,inf,inf,inf,inf
Gran_canaria,589.3930266567847,786.0241462042228,25.52705505813691,616.6420583610469,803.6749126070965,26.046751245111675,205.94038748663115,364.6775339152576,2.3403709838473374,921.4780607168349,1677.9461511095353,68.35557563574383,11.384502483030982,22.096434966408438,inf,11.380326675912304,22.069889175221476,inf,5.491967753396027,13.825753630336733,inf,inf,inf,inf
Ceuta,28.863484605657128,43.66486398404065,19.215118678292793,29.291026931914782,44.14594097509236,19.132933266231735,19.530882210338667,33.4826452189771,5.424263979087061,49.81000526183854,100.7861014693329,69.04778687335315,0.8157828801207274,1.4510279700211335,inf,0.7810950746725891,1.4396860580983961,inf,0.504166843355182,1.0728295013817326,inf,inf,inf,inf
Melilla,48.281668082558014,87.0940162430912,52.750772923038525,48.17983915844806,87.20789527586936,52.84596958974285,49.52079039215688,91.36822493673279,44.456963891724754,76.67124441661623,123.97145603458402,74.14930346595268,0.87819346188713,1.5116129172884603,inf,0.8611708376014805,1.5085789205511744,inf,0.4650486662866912,0.9425984287796801,inf,inf,inf,inf
Lanzarote_Fuerteventura,0.20664422539886493,0.4608872298478997,0.04041733752746245,1.8151442490955165e-05,3.893291584812834e-05,3.370428359349003e-06,319.25817244206786,591.9347772062107,44.86511623554584,472.296416778333,795.1352504097525,69.0106998995202,5.289547568212811,10.233265166864417,inf,5.1973198022933405,10.214400360586,inf,2.73044628384155,6.876896953531913,inf,inf,inf,inf
Tenerife,1.2270283164464515,1.6805960259767645,0.05612272961185444,1.3062617837409585e-05,1.74320898095276e-05,5.667512989300181e-07,213.16537262032116,397.92172653789027,3.4807959687149297,1001.9128068344402,1774.9528337028996,69.96559299538325,12.297700642982447,23.430145056201653,inf,12.27083122659491,23.38872685038022,inf,5.396589862258952,14.622897925539082,inf,inf,inf,inf
La_Palma,0.020545714260266773,0.04371974231299596,0.023599807318756626,9.98657049661366e-05,0.0002088839537269642,0.0001121692143568799,47.79156215686271,100.48270288480524,40.69429737189514,79.45163819589852,129.47654173235625,68.84195548367197,1.0566364548984082,1.8155720325397993,inf,1.0183058547351296,1.8052355645375406,inf,0.5396256359836609,1.164574617616757,inf,inf,inf,inf
La_Gomera,0.030953927327636573,0.06913563639536911,0.159562082780627,0.00033825676842677273,0.0007580206440822527,0.0017422292990112716,14.757704206773612,30.679897061716048,43.97812132206143,21.51029934765429,36.96837794263458,83.13009140614992,0.3468737222115168,0.5664242171447935,inf,0.3218233546896096,0.5411468609287566,inf,0.18379929324593908,0.3870784164441942,inf,inf,inf,inf
El_Hierro,0.05909530835328738,0.11473243879785476,0.2896363687678682,0.0006546293376592231,0.0012908975439305523,0.003260932849372551,11.822502406417124,23.0213592657642,46.75473506866305,18.52992274906569,27.502308989112308,68.64146329509487,0.24884369422414124,0.4032329526092064,inf,0.2121026242792126,0.3768501148004029,inf,0.1531502023368481,0.2826271430828974,inf,inf,inf,inf
nacional,657761.9028397558,928451.8384960018,27.099523737743375,656163.3541772923,928087.1565989876,27.060991625181245,403754.1173129252,675253.8544818026,14.428919707019187,940601.9228279656,1695772.6109272754,67.60251413816266,9494.883391665197,20795.721686196808,inf,9545.11479862318,20791.06663920112,inf,5142.18087191139,14353.388816315217,inf,inf,inf,inf
