zone,horizon,model,MAE,RMSE,MAPE
Baleares,daily,LSTM,16091.97755456543,16878.671891861348,97.44540039850904
Baleares,daily,GRU,16089.97621475593,16876.763862551037,97.42404897308103
Baleares,daily,CNN,1923.8830882138036,3082.694653600928,61.83346342410639
Baleares,daily,CNN-LSTM,16094.127564955677,16880.721716105534,97.46833621982212
Baleares,hourly,LSTM,213.16020629645888,279.42296301455144,inf
Baleares,hourly,GRU,16.303272082993157,34.802853016789584,inf
Baleares,hourly,CNN,23.58794941100683,46.30930392839654,inf
Baleares,hourly,CNN-LSTM,19.8917564550986,36.18367400438132,inf
Canarias,daily,LSTM,22915.331326627445,23325.117432386254,98.34462627980464
Canarias,daily,GRU,22911.914934637276,23321.76107503066,98.32072168516139
Canarias,daily,CNN,2152.81365814692,3792.1149026435783,56.65978503945402
Canarias,daily,CNN-LSTM,22913.703216194648,23323.51793606086,98.33323384105962
Canarias,hourly,LSTM,21.893661263050948,48.62649155838945,inf
Canarias,hourly,GRU,19.17279440562414,46.28327338100579,inf
Canarias,hourly,CNN,26.681892216664078,62.098336335702115,inf
Canarias,hourly,CNN-LSTM,20.882468971635287,47.31885215826883,inf
Ceuta,daily,LSTM,294.184478086403,297.5592351506879,79.46752716653282
Ceuta,daily,GRU,290.5378141736367,293.860330991986,79.22204350660417
Ceuta,daily,CNN,44.61273922839268,80.9607488539366,50.97870938287471
Ceuta,daily,CNN-LSTM,291.22003079047994,294.55189605442234,79.26797527424722
Ceuta,hourly,LSTM,0.6781376151244601,1.239811621017631,inf
Ceuta,hourly,GRU,0.6156814975927049,1.2077079105214479,inf
Ceuta,hourly,CNN,0.7745091407810173,1.5464381211602554,inf
Ceuta,hourly,CNN-LSTM,0.5962147199231576,1.1674468191333844,inf
El_Hierro,daily,LSTM,23.45455733330816,30.606490172667634,67.74753544351721
El_Hierro,daily,GRU,22.03998297108163,27.06304320628115,48.86208972219001
El_Hierro,daily,CNN,17.87472241671994,26.155150850775314,60.66179530096718
El_Hierro,daily,CNN-LSTM,23.48397274747341,30.628112415500677,67.75112202654505
El_Hierro,hourly,LSTM,0.19524144056916942,0.3521088061299618,inf
El_Hierro,hourly,GRU,0.19658312518531842,0.3560815263205446,inf
El_Hierro,hourly,CNN,0.2550368778106491,0.4686486386619858,inf
El_Hierro,hourly,CNN-LSTM,0.19007144779462004,0.3563237863806849,inf
Gran_canaria,daily,LSTM,8559.503096161108,8720.432902222374,95.62601817303002
Gran_canaria,daily,GRU,8558.311180964629,8719.262992806121,95.60419317595613
Gran_canaria,daily,CNN,738.7969565886353,1398.6362836914095,53.5614024976667
Gran_canaria,daily,CNN-LSTM,8560.308277239024,8721.223234219713,95.6407589808852
Gran_canaria,hourly,LSTM,7.84316690674401,17.84689616884972,inf
Gran_canaria,hourly,GRU,8.153441903933127,18.121866832550108,inf
Gran_canaria,hourly,CNN,10.420404907797865,24.1092794228302,inf
Gran_canaria,hourly,CNN-LSTM,8.048399427647782,17.906611592573967,inf
Lanzarote_Fuerteventura,daily,LSTM,3864.782077750666,3937.5493454990537,92.43101557430646
Lanzarote_Fuerteventura,daily,GRU,3865.7442549449456,3938.521036278412,92.45039369953713
Lanzarote_Fuerteventura,daily,CNN,1381.6218460614318,1619.5267592764967,107.0836747048426
Lanzarote_Fuerteventura,daily,CNN-LSTM,3868.290588477485,3941.092585419116,92.50167727980772
Lanzarote_Fuerteventura,hourly,LSTM,3.7348842573668017,8.396905594557014,inf
Lanzarote_Fuerteventura,hourly,GRU,3.2491082095139108,7.971881860428223,inf
Lanzarote_Fuerteventura,hourly,CNN,5.607188928651743,11.437137664082647,inf
Lanzarote_Fuerteventura,hourly,CNN-LSTM,3.8648624058509364,8.327127572317833,inf
La_Gomera,daily,LSTM,29.926176794697056,40.39610972133333,83.97587903434321
La_Gomera,daily,GRU,28.404955796276063,39.66294973575492,83.92645649624416
La_Gomera,daily,CNN,25.342691554885974,37.89402834491947,75.72270926050886
La_Gomera,daily,CNN-LSTM,28.499977764541295,39.706978767221116,83.92915968083443
La_Gomera,hourly,LSTM,0.2592927198824242,0.5193850168933899,inf
La_Gomera,hourly,GRU,0.28337569354901954,0.5498166080739723,inf
La_Gomera,hourly,CNN,0.3694440508275358,0.7210983488873325,inf
La_Gomera,hourly,CNN-LSTM,0.2802180454101519,0.5535284212389169,inf
La_Palma,daily,LSTM,445.39754350972345,450.1874779029067,84.29892223939943
La_Palma,daily,GRU,446.44123971425887,451.26392208556325,84.34279570637445
La_Palma,daily,CNN,72.20219751152203,117.6787868254496,57.984684324520295
La_Palma,daily,CNN-LSTM,446.7476967946883,451.5800625398528,84.35570665799926
La_Palma,hourly,LSTM,0.8910788673140481,1.6216568551650548,inf
La_Palma,hourly,GRU,0.6996807081097094,1.4414433448456054,inf
La_Palma,hourly,CNN,1.1492763429652448,2.122088507617872,inf
La_Palma,hourly,CNN-LSTM,0.7368759197156436,1.4771813272477319,inf
Melilla,daily,LSTM,324.7116375113288,335.6073307528644,81.80460789300334
Melilla,daily,GRU,325.0050444849686,335.8998383890062,81.82060515277452
Melilla,daily,CNN,59.98498421165411,95.53016417499246,57.27707833249273
Melilla,daily,CNN-LSTM,327.07535319771523,337.96479208368214,81.93332010140449
Melilla,hourly,LSTM,0.6126134248888327,1.2441104498313142,inf
Melilla,hourly,GRU,0.6582533722081535,1.2639456282372725,inf
Melilla,hourly,CNN,0.9051684799357026,1.666380285467068,inf
Melilla,hourly,CNN-LSTM,0.6182620264364045,1.2217999231203451,inf
nacional,daily,LSTM,7597106.306151288,7775650.270012473,99.99727050602937
nacional,daily,GRU,7597107.900905147,7775651.828157974,99.99730288910277
nacional,daily,CNN,1628583.2162629757,2090244.078981658,63.73304014771001
nacional,daily,CNN-LSTM,7597108.849226427,7775652.754622276,99.99732214318908
nacional,hourly,LSTM,313878.6413256423,324092.14566137653,inf
nacional,hourly,GRU,313876.967589005,324092.19428183255,inf
nacional,hourly,CNN,18735.429187275393,33101.670508136114,inf
